t_boot_s,event,scale,alt_m,vz_mps,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,esc1,esc2,esc3,esc4,mode,armed
6.104,start,nan,0.034,-0.001,0.01,0.01,-0.00,0.02,-0.02,0.00,,,,,?,0
6.124,start,nan,0.034,-0.001,0.01,0.01,-0.00,0.06,0.00,0.01,0,0,0,0,?,0
6.144,start,nan,0.034,-0.001,0.01,0.01,-0.00,0.01,-0.01,0.06,0,0,0,0,?,0
6.164,start,nan,0.037,-0.001,0.01,0.01,0.00,0.05,0.00,0.01,0,0,0,0,?,0
6.184,start,nan,0.037,-0.001,0.01,0.01,-0.00,-0.01,-0.03,-0.02,0,0,0,0,?,0
6.204,start,nan,0.040,-0.001,0.01,0.01,-0.00,0.03,-0.01,-0.01,0,0,0,0,?,0
6.224,start,nan,0.040,-0.001,0.01,0.01,-0.00,0.03,-0.00,0.00,0,0,0,0,?,0
6.244,start,nan,0.040,-0.001,0.01,0.01,0.00,0.00,-0.03,0.06,0,0,0,0,?,0
6.264,start,nan,0.043,-0.001,0.01,0.01,0.00,-0.01,-0.00,0.01,0,0,0,0,?,0
6.284,start,nan,0.043,-0.001,0.01,0.01,0.00,0.03,0.01,0.06,0,0,0,0,?,0
6.304,start,nan,0.045,-0.001,0.01,0.01,0.00,0.00,0.02,-0.03,0,0,0,0,?,0
6.324,start,nan,0.045,-0.001,0.01,0.01,0.00,-0.01,-0.01,0.03,0,0,0,0,?,0
6.344,start,nan,0.045,-0.001,0.01,0.01,95.95,0.02,-0.04,0.04,0,0,0,0,?,0
6.364,start,nan,0.046,-0.001,0.01,0.01,95.95,0.02,-0.02,-0.01,0,0,0,0,?,0
6.384,start,nan,0.046,-0.001,0.01,0.00,95.95,0.01,-0.08,0.00,0,0,0,0,?,0
6.404,start,nan,0.046,-0.001,0.01,0.00,95.95,0.04,0.05,0.04,0,0,0,0,?,0
6.424,start,nan,0.046,-0.001,0.01,0.00,95.95,-0.03,0.06,-0.04,0,0,0,0,?,0
6.444,start,nan,0.046,-0.001,0.01,0.00,95.95,-0.04,0.00,-0.04,0,0,0,0,?,0
6.464,start,nan,0.047,-0.001,0.01,0.00,95.95,0.01,-0.03,-0.04,0,0,0,0,?,0
6.484,start,nan,0.047,-0.001,0.01,0.00,95.96,-0.03,0.01,-0.02,0,0,0,0,?,0
6.504,start,nan,0.047,-0.001,0.00,-0.00,95.96,0.03,-0.05,0.01,0,0,0,0,?,0
6.524,start,nan,0.047,-0.001,0.00,-0.01,95.96,-0.01,-0.02,-0.04,0,0,0,0,?,0
