t_boot_s,event,scale,alt_m,vz_mps,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,esc1,esc2,esc3,esc4,mode,armed
6.068,start,nan,0.001,-0.001,-0.00,0.01,0.01,0.04,0.00,-0.05,0,0,0,0,?,0
6.088,start,nan,0.001,-0.001,-0.00,0.01,0.01,-0.01,-0.02,-0.04,0,0,0,0,?,0
6.108,start,nan,0.001,-0.001,-0.00,0.01,0.01,0.00,0.00,0.02,0,0,0,0,?,0
6.128,start,nan,0.001,-0.001,-0.00,0.01,0.01,-0.01,-0.04,0.01,0,0,0,0,?,0
6.148,start,nan,0.001,-0.001,-0.00,0.01,0.01,-0.00,0.02,-0.01,0,0,0,0,?,0
6.168,start,nan,0.002,-0.001,-0.00,0.01,0.01,0.07,-0.01,-0.01,0,0,0,0,?,0
6.188,start,nan,0.002,-0.001,-0.00,0.01,0.01,-0.01,-0.02,0.02,0,0,0,0,?,0
6.208,start,nan,0.001,-0.001,-0.00,0.01,0.01,-0.03,-0.00,0.03,0,0,0,0,?,0
6.228,start,nan,0.001,-0.001,-0.00,0.01,0.01,0.00,-0.03,-0.05,0,0,0,0,?,0
6.248,start,nan,0.001,-0.001,-0.00,0.01,0.01,0.02,0.02,-0.02,0,0,0,0,?,0
6.268,start,nan,0.001,-0.001,-0.00,0.01,0.01,-0.00,0.00,0.02,0,0,0,0,?,0
6.288,start,nan,0.001,-0.001,-0.00,0.01,0.00,0.00,0.01,-0.02,0,0,0,0,?,0
6.308,start,nan,-0.000,-0.001,-0.00,0.01,95.96,0.00,-0.02,-0.02,0,0,0,0,?,0
6.328,start,nan,-0.000,-0.001,0.00,0.01,95.96,0.01,0.04,0.03,0,0,0,0,?,0
6.348,start,nan,-0.000,-0.001,0.00,0.01,95.96,0.02,-0.02,-0.01,0,0,0,0,?,0
6.368,start,nan,-0.002,-0.000,0.00,0.01,95.96,-0.02,-0.04,0.03,0,0,0,0,?,0
6.388,start,nan,-0.002,-0.000,0.00,0.01,95.96,0.02,0.02,0.02,0,0,0,0,?,0
6.408,start,nan,-0.003,-0.000,0.00,0.01,95.96,-0.01,-0.03,-0.01,0,0,0,0,?,0
6.428,start,nan,-0.003,-0.000,0.00,0.01,95.96,-0.01,0.06,-0.05,0,0,0,0,?,0
6.448,start,nan,-0.003,-0.000,0.00,0.01,95.96,0.01,-0.00,0.04,0,0,0,0,?,0
6.468,start,nan,-0.004,-0.001,0.00,0.01,95.96,-0.04,-0.02,0.07,0,0,0,0,?,0
6.488,start,nan,-0.004,-0.001,0.00,0.01,95.96,0.00,-0.00,-0.04,0,0,0,0,?,0
6.508,start,nan,-0.006,-0.001,0.00,0.01,95.96,-0.00,0.02,0.02,0,0,0,0,?,0
6.528,start,nan,-0.006,-0.001,0.00,0.01,95.96,0.03,-0.02,0.02,0,0,0,0,?,0
6.548,start,nan,-0.006,-0.001,-0.00,0.01,95.96,-0.04,0.01,-0.04,0,0,0,0,?,0
6.568,start,nan,-0.007,-0.001,-0.00,0.01,95.96,0.03,0.01,0.03,0,0,0,0,?,0
6.588,start,nan,-0.007,-0.001,-0.01,0.01,95.95,0.02,-0.03,-0.02,0,0,0,0,?,0
6.608,start,nan,-0.008,-0.001,-0.01,0.02,95.95,-0.01,-0.05,-0.03,0,0,0,0,?,0
6.628,start,nan,-0.008,-0.001,-0.01,0.02,95.95,-0.01,0.05,0.01,0,0,0,0,?,0
6.648,start,nan,-0.008,-0.001,-0.02,0.02,95.95,0.02,-0.02,-0.01,0,0,0,0,?,0
6.668,start,nan,-0.010,-0.001,-0.02,0.02,95.95,-0.04,-0.00,-0.01,0,0,0,0,?,0
6.688,start,nan,-0.010,-0.001,-0.02,0.02,95.95,-0.04,-0.02,0.01,0,0,0,0,?,0
6.708,start,nan,-0.011,-0.001,-0.03,0.02,95.95,-0.05,-0.02,0.07,0,0,0,0,?,0
6.728,start,nan,-0.011,-0.001,-0.03,0.02,95.95,0.00,0.01,-0.03,0,0,0,0,?,0
6.748,start,nan,-0.011,-0.001,-0.04,0.02,95.95,0.01,-0.05,-0.02,0,0,0,0,?,0
6.768,start,nan,-0.012,-0.001,-0.04,0.02,95.95,0.02,0.01,0.02,0,0,0,0,?,0
6.788,start,nan,-0.012,-0.001,-0.04,0.02,95.95,-0.02,-0.05,-0.01,0,0,0,0,?,0
6.808,start,nan,-0.013,-0.002,-0.05,0.02,95.95,-0.00,-0.01,0.03,0,0,0,0,?,0
6.828,start,nan,-0.013,-0.002,-0.05,0.01,95.96,-0.01,0.01,0.01,0,0,0,0,?,0
6.848,start,nan,-0.013,-0.002,-0.05,0.01,95.96,-0.03,0.03,0.08,0,0,0,0,?,0
6.868,start,nan,-0.014,-0.002,-0.05,0.01,95.97,-0.02,-0.02,0.03,0,0,0,0,?,0
6.888,start,nan,-0.014,-0.002,-0.05,0.00,95.97,0.03,-0.04,-0.01,0,0,0,0,?,0
6.908,start,nan,-0.015,-0.002,-0.05,-0.00,95.98,-0.04,-0.01,0.04,0,0,0,0,?,0
6.928,start,nan,-0.015,-0.002,-0.05,-0.01,95.98,-0.01,0.01,-0.01,0,0,0,0,?,0
6.948,start,nan,-0.015,-0.002,-0.04,-0.01,95.99,0.01,-0.01,0.04,0,0,0,0,?,0
6.968,start,nan,-0.016,-0.001,-0.04,-0.02,96.00,0.06,0.00,0.02,0,0,0,0,?,0
6.988,start,nan,-0.016,-0.001,-0.04,-0.02,96.00,-0.00,-0.07,0.03,0,0,0,0,?,0
7.008,start,nan,-0.016,-0.001,-0.03,-0.03,96.01,-0.03,-0.08,-0.00,0,0,0,0,?,0
7.028,start,nan,-0.016,-0.001,-0.03,-0.03,96.01,0.02,0.01,-0.05,0,0,0,0,?,0
7.048,start,nan,-0.016,-0.001,-0.03,-0.04,96.02,-0.04,-0.02,-0.01,0,0,0,0,?,0
7.068,start,nan,-0.016,-0.001,-0.02,-0.04,96.02,-0.01,0.04,0.01,0,0,0,0,LOITER,0
7.088,start,nan,-0.016,-0.001,-0.02,-0.05,96.03,-0.02,-0.00,-0.04,0,0,0,0,LOITER,0
7.108,start,nan,-0.017,-0.000,-0.02,-0.05,96.03,-0.00,-0.03,0.02,0,0,0,0,LOITER,0
7.128,start,nan,-0.017,-0.000,-0.02,-0.06,96.04,0.06,-0.02,0.03,0,0,0,0,LOITER,0
7.148,start,nan,-0.017,-0.000,-0.02,-0.06,96.04,0.05,-0.01,-0.03,0,0,0,0,LOITER,0
7.168,start,nan,-0.017,-0.000,-0.02,-0.07,96.04,-0.02,-0.01,-0.01,0,0,0,0,LOITER,0
7.188,start,nan,-0.017,-0.000,-0.02,-0.07,96.05,-0.02,-0.00,-0.00,0,0,0,0,LOITER,0
7.208,start,nan,-0.017,0.001,-0.02,-0.07,96.05,0.00,0.06,-0.02,0,0,0,0,LOITER,0
7.228,start,nan,-0.017,0.001,-0.02,-0.07,96.05,0.02,-0.00,-0.02,0,0,0,0,LOITER,0
7.248,start,nan,-0.017,0.001,-0.02,-0.07,96.05,-0.01,-0.02,0.01,0,0,0,0,LOITER,0
7.268,start,nan,-0.018,0.001,-0.02,-0.07,96.05,0.10,0.02,0.06,0,0,0,0,LOITER,0
7.288,start,nan,-0.018,0.001,-0.02,-0.07,96.05,-0.04,0.04,0.02,0,0,0,0,LOITER,0
7.308,start,nan,-0.019,0.003,-0.02,-0.07,96.05,0.05,-0.01,-0.06,0,0,0,0,LOITER,0
7.328,start,nan,-0.019,0.003,-0.02,-0.07,96.05,0.00,0.01,0.02,0,0,0,0,LOITER,0
7.348,start,nan,-0.019,0.003,-0.01,-0.07,96.05,-0.04,-0.04,-0.03,0,0,0,0,LOITER,0
7.368,start,nan,-0.019,0.004,-0.01,-0.07,96.05,-0.00,0.00,0.01,0,0,0,0,LOITER,0
7.388,start,nan,-0.019,0.004,-0.01,-0.07,96.05,-0.01,0.01,-0.00,0,0,0,0,LOITER,0
7.408,start,nan,-0.020,0.005,-0.01,-0.07,96.05,0.05,-0.04,0.00,0,0,0,0,LOITER,0
7.428,start,nan,-0.020,0.005,-0.01,-0.07,96.05,0.03,0.01,-0.02,0,0,0,0,LOITER,0
7.448,start,nan,-0.020,0.005,-0.01,-0.07,96.05,-0.01,-0.02,-0.03,0,0,0,0,LOITER,0
7.468,start,nan,-0.021,0.006,-0.01,-0.07,96.05,-0.02,-0.03,0.03,0,0,0,0,LOITER,0
7.488,start,nan,-0.021,0.006,-0.00,-0.07,96.05,0.03,-0.02,-0.01,0,0,0,0,LOITER,0
7.508,start,nan,-0.022,0.007,-0.00,-0.07,96.05,-0.02,0.05,0.02,0,0,0,0,LOITER,0
7.528,start,nan,-0.022,0.007,0.00,-0.07,96.05,0.03,-0.04,0.03,0,0,0,0,LOITER,0
7.548,start,nan,-0.022,0.007,0.00,-0.06,96.05,0.00,-0.04,-0.03,0,0,0,0,LOITER,0
7.568,start,nan,-0.023,0.008,0.01,-0.06,96.04,0.06,-0.02,-0.02,0,0,0,0,LOITER,0
7.588,start,nan,-0.023,0.008,0.01,-0.06,96.04,-0.03,-0.04,0.04,0,0,0,0,LOITER,0
7.608,start,nan,-0.023,0.009,0.01,-0.06,96.04,0.00,-0.02,-0.05,0,0,0,0,LOITER,0
7.628,start,nan,-0.023,0.009,0.01,-0.06,96.04,0.01,0.03,0.02,0,0,0,0,LOITER,0
7.648,start,nan,-0.023,0.009,0.01,-0.05,96.04,-0.01,0.00,-0.04,0,0,0,0,LOITER,0
7.668,start,nan,-0.024,0.009,0.02,-0.05,96.04,0.00,0.02,-0.02,0,0,0,0,LOITER,0
7.688,start,nan,-0.024,0.009,0.02,-0.05,96.03,0.02,0.03,0.03,0,0,0,0,LOITER,0
7.708,start,nan,-0.025,0.010,0.02,-0.04,96.03,-0.06,-0.05,-0.04,0,0,0,0,LOITER,0
7.728,start,nan,-0.025,0.010,0.02,-0.04,96.03,-0.03,-0.01,-0.03,0,0,0,0,LOITER,0
7.748,start,nan,-0.025,0.010,0.02,-0.04,96.03,0.00,0.02,0.05,0,0,0,0,LOITER,0
7.768,start,nan,-0.026,0.011,0.02,-0.04,96.03,0.02,-0.01,-0.00,0,0,0,0,LOITER,0
7.788,start,nan,-0.026,0.011,0.02,-0.03,96.02,-0.03,-0.00,0.01,0,0,0,0,LOITER,0
7.808,start,nan,-0.027,0.011,0.02,-0.03,96.02,-0.01,0.01,-0.00,0,0,0,0,LOITER,0
7.828,start,nan,-0.027,0.011,0.03,-0.02,96.02,0.00,0.02,0.04,0,0,0,0,LOITER,0
7.848,start,nan,-0.027,0.011,0.03,-0.02,96.02,0.00,-0.02,0.02,0,0,0,0,LOITER,0
7.868,start,nan,-0.028,0.012,0.03,-0.02,96.01,0.08,-0.00,0.00,0,0,0,0,LOITER,0
7.888,start,nan,-0.028,0.012,0.03,-0.01,96.01,0.04,0.00,0.02,0,0,0,0,LOITER,0
7.908,start,nan,-0.029,0.012,0.03,-0.01,96.01,0.04,0.06,-0.01,0,0,0,0,LOITER,0
7.928,start,nan,-0.029,0.012,0.03,-0.01,96.01,-0.00,-0.01,0.04,0,0,0,0,LOITER,0
7.948,start,nan,-0.029,0.012,0.04,-0.01,96.00,0.03,-0.07,0.02,0,0,0,0,LOITER,0
7.968,start,nan,-0.030,0.013,0.04,-0.00,96.00,0.02,-0.04,0.03,0,0,0,0,LOITER,0
7.988,start,nan,-0.030,0.013,0.04,-0.00,96.00,0.00,0.01,0.03,0,0,0,0,LOITER,0
8.008,start,nan,-0.030,0.013,0.04,0.00,96.00,0.00,-0.02,0.00,0,0,0,0,LOITER,0
8.028,start,nan,-0.030,0.013,0.04,0.00,96.00,-0.02,0.07,0.02,0,0,0,0,LOITER,0
8.048,start,nan,-0.030,0.013,0.04,0.00,96.00,0.00,-0.04,0.05,0,0,0,0,LOITER,0
8.068,start,nan,-0.031,0.013,0.04,0.01,96.00,0.00,0.01,-0.04,0,0,0,0,LOITER,0
8.088,start,nan,-0.031,0.013,0.04,0.01,95.99,0.07,-0.01,-0.01,0,0,0,0,LOITER,0
8.108,start,nan,-0.031,0.013,0.04,0.01,95.99,0.01,-0.02,0.01,0,0,0,0,LOITER,0
8.128,start,nan,-0.031,0.013,0.04,0.01,95.99,0.03,-0.02,-0.04,0,0,0,0,LOITER,0
8.148,start,nan,-0.031,0.013,0.04,0.01,95.99,-0.03,-0.02,-0.01,0,0,0,0,LOITER,0
8.168,start,nan,-0.031,0.013,0.04,0.01,95.99,0.06,0.03,-0.00,0,0,0,0,LOITER,0
8.188,start,nan,-0.031,0.013,0.04,0.01,95.99,0.03,-0.03,-0.01,0,0,0,0,LOITER,0
8.208,start,nan,-0.031,0.013,0.04,0.01,95.99,0.01,0.03,0.01,0,0,0,0,LOITER,0
8.228,start,nan,-0.031,0.013,0.04,0.01,95.99,0.03,-0.01,0.01,0,0,0,0,LOITER,0
8.248,start,nan,-0.031,0.013,0.03,0.01,95.99,0.06,-0.03,0.02,0,0,0,0,LOITER,0
8.268,start,nan,-0.031,0.013,0.03,0.01,95.99,-0.07,0.00,0.02,0,0,0,0,LOITER,0
8.288,start,nan,-0.031,0.013,0.03,0.01,95.99,-0.01,0.01,0.03,0,0,0,0,LOITER,0
8.308,start,nan,-0.031,0.013,0.03,0.01,95.99,0.02,0.01,-0.02,0,0,0,0,LOITER,0
8.328,start,nan,-0.031,0.013,0.03,0.01,95.99,-0.02,0.02,0.07,0,0,0,0,LOITER,0
8.348,start,nan,-0.031,0.013,0.02,0.01,95.99,0.03,-0.02,-0.02,0,0,0,0,LOITER,0
8.368,start,nan,-0.031,0.014,0.02,0.01,95.99,-0.01,-0.01,0.00,0,0,0,0,LOITER,0
8.388,start,nan,-0.031,0.014,0.02,0.01,95.99,-0.03,0.04,-0.05,0,0,0,0,LOITER,0
8.408,start,nan,-0.031,0.014,0.02,0.01,95.99,-0.02,0.00,-0.01,0,0,0,0,LOITER,0
8.428,start,nan,-0.031,0.014,0.01,0.00,96.00,0.00,-0.01,0.05,0,0,0,0,LOITER,0
8.448,start,nan,-0.031,0.014,0.01,0.00,96.00,0.03,0.04,-0.05,0,0,0,0,LOITER,0
8.468,start,nan,-0.031,0.014,0.01,0.00,96.00,-0.06,-0.04,-0.03,0,0,0,0,LOITER,0
8.488,start,nan,-0.031,0.014,0.00,0.00,96.00,-0.07,-0.03,-0.03,0,0,0,0,LOITER,0
8.508,start,nan,-0.031,0.014,0.00,0.00,96.00,0.03,0.03,-0.00,151,151,151,151,LOITER,0
8.528,start,nan,-0.031,0.014,0.00,0.00,96.00,-0.02,0.05,0.01,151,151,151,151,LOITER,0
8.548,start,nan,-0.031,0.014,-0.00,0.00,96.00,-0.04,-0.01,0.01,151,151,151,151,LOITER,0
8.568,start,nan,-0.030,0.014,-0.00,-0.00,96.00,-0.02,-0.03,-0.01,151,151,151,151,LOITER,0
8.588,start,nan,-0.030,0.014,-0.01,-0.00,96.00,0.01,-0.00,-0.03,151,151,151,151,LOITER,0
8.588,takeoff to 20 m,nan,-0.029,0.013,-0.01,-0.00,96.00,0.01,-0.00,-0.03,151,151,151,151,LOITER,0
8.608,takeoff to 20 m,nan,-0.029,0.013,-0.01,-0.00,96.00,0.07,0.00,0.02,151,151,151,151,LOITER,0
8.628,takeoff to 20 m,nan,-0.029,0.013,-0.01,-0.00,96.00,-0.03,0.01,-0.02,151,151,151,151,LOITER,0
8.648,takeoff to 20 m,nan,-0.029,0.013,-0.01,-0.00,96.00,-0.06,0.01,0.04,151,151,151,151,LOITER,0
8.672,takeoff to 20 m,nan,-0.027,0.012,-0.01,-0.00,96.00,-0.03,-0.02,0.05,151,151,151,151,LOITER,0
8.688,takeoff to 20 m,nan,-0.027,0.012,-0.01,-0.00,96.00,-0.01,0.06,-0.03,151,151,151,151,LOITER,0
8.708,takeoff to 20 m,nan,-0.025,0.011,-0.01,-0.00,96.00,-0.02,0.04,-0.03,151,151,151,151,LOITER,0
8.728,takeoff to 20 m,nan,-0.025,0.011,-0.01,-0.00,96.00,0.04,-0.03,0.02,151,151,151,151,LOITER,0
8.748,takeoff to 20 m,nan,-0.025,0.011,-0.01,-0.00,96.00,0.01,-0.01,0.03,151,151,151,151,LOITER,0
8.768,takeoff to 20 m,nan,-0.023,0.010,-0.01,-0.00,96.00,-0.02,-0.02,-0.01,151,151,151,151,LOITER,0
8.788,takeoff to 20 m,nan,-0.023,0.010,-0.01,-0.00,96.00,0.05,-0.03,0.04,151,151,151,151,LOITER,0
8.808,takeoff to 20 m,nan,-0.021,0.008,-0.02,-0.00,96.00,-0.04,-0.05,0.00,151,151,151,151,LOITER,0
8.828,takeoff to 20 m,nan,-0.021,0.008,-0.02,-0.00,96.00,-0.05,-0.02,0.01,151,151,151,151,LOITER,0
8.848,takeoff to 20 m,nan,-0.021,0.008,-0.02,-0.00,96.00,-0.01,0.02,-0.01,151,151,151,151,LOITER,0
8.868,takeoff to 20 m,nan,-0.019,0.007,-0.02,-0.00,96.00,-0.02,-0.01,-0.06,151,151,151,151,LOITER,0
8.888,takeoff to 20 m,nan,-0.019,0.007,-0.02,-0.00,96.00,0.00,0.02,-0.03,151,151,151,151,LOITER,0
8.908,takeoff to 20 m,nan,-0.017,0.006,-0.01,-0.00,96.00,0.01,-0.04,0.04,151,151,151,151,LOITER,0
8.928,takeoff to 20 m,nan,-0.017,0.006,-0.01,-0.00,96.00,0.03,0.04,-0.01,151,151,151,151,LOITER,0
8.948,takeoff to 20 m,nan,-0.017,0.006,-0.01,-0.00,96.00,-0.03,0.03,-0.02,151,151,151,151,LOITER,0
8.968,takeoff to 20 m,nan,-0.015,0.006,-0.01,-0.00,96.00,0.01,0.05,-0.01,151,151,151,151,LOITER,0
8.988,takeoff to 20 m,nan,-0.015,0.006,-0.01,-0.00,96.00,0.02,-0.02,0.01,151,151,151,151,LOITER,0
9.008,takeoff to 20 m,nan,-0.014,0.005,-0.01,-0.00,96.00,-0.02,0.01,0.08,151,151,151,151,LOITER,0
9.028,takeoff to 20 m,nan,-0.014,0.005,-0.01,-0.00,96.00,-0.01,-0.00,-0.00,151,151,151,151,LOITER,0
9.048,takeoff to 20 m,nan,-0.014,0.005,-0.01,-0.00,96.00,-0.04,-0.02,0.05,151,151,151,151,LOITER,0
9.068,takeoff to 20 m,nan,-0.012,0.005,-0.01,-0.00,96.00,0.02,0.05,-0.02,151,151,151,151,TAKEOFF,1
9.088,takeoff to 20 m,nan,-0.012,0.005,-0.01,-0.00,96.00,0.00,-0.02,-0.02,151,151,151,151,TAKEOFF,1
9.108,takeoff to 20 m,nan,-0.011,0.004,-0.00,-0.00,96.00,0.04,0.01,-0.04,151,151,151,151,TAKEOFF,1
9.128,takeoff to 20 m,nan,-0.011,0.004,-0.00,0.00,96.00,-0.05,0.01,-0.00,151,151,151,151,TAKEOFF,1
9.148,takeoff to 20 m,nan,-0.011,0.004,-0.00,0.00,95.99,-0.03,0.01,-0.03,151,151,151,151,TAKEOFF,1
9.168,takeoff to 20 m,nan,-0.010,0.004,-0.00,0.00,96.00,-0.00,-0.02,0.01,151,151,151,151,TAKEOFF,1
9.188,takeoff to 20 m,nan,-0.010,0.004,0.00,0.00,95.99,0.01,-0.00,-0.08,151,151,151,151,TAKEOFF,1
9.208,takeoff to 20 m,nan,-0.009,0.004,0.00,0.00,95.99,-0.02,-0.01,-0.03,151,151,151,151,TAKEOFF,1
9.228,takeoff to 20 m,nan,-0.009,0.004,0.00,0.00,95.99,0.03,0.04,-0.01,151,151,151,151,TAKEOFF,1
9.248,takeoff to 20 m,nan,-0.009,0.004,0.00,0.00,95.99,-0.00,0.04,0.00,151,151,151,151,TAKEOFF,1
9.268,takeoff to 20 m,nan,-0.008,0.003,0.01,0.00,95.99,-0.00,0.01,-0.02,151,151,151,151,TAKEOFF,1
9.288,takeoff to 20 m,nan,-0.008,0.003,0.01,0.00,95.99,0.03,-0.01,-0.03,151,151,151,151,TAKEOFF,1
9.308,takeoff to 20 m,nan,-0.006,0.003,0.01,0.00,95.99,-0.03,0.01,0.01,151,151,151,151,TAKEOFF,1
9.328,takeoff to 20 m,nan,-0.006,0.003,0.01,0.00,95.99,0.04,0.02,-0.01,151,151,151,151,TAKEOFF,1
9.348,takeoff to 20 m,nan,-0.006,0.003,0.01,0.00,95.99,0.02,0.00,0.04,151,151,151,151,TAKEOFF,1
9.368,takeoff to 20 m,nan,-0.005,0.003,0.02,0.00,95.99,0.02,0.05,0.03,151,151,151,151,TAKEOFF,1
9.388,takeoff to 20 m,nan,-0.005,0.003,0.02,0.00,95.98,0.03,-0.00,0.00,151,151,151,151,TAKEOFF,1
9.408,takeoff to 20 m,nan,-0.004,0.002,0.02,-0.00,95.98,-0.06,-0.02,0.01,151,151,151,151,TAKEOFF,1
9.428,takeoff to 20 m,nan,-0.004,0.002,0.02,-0.00,95.98,-0.01,-0.05,-0.02,151,151,151,151,TAKEOFF,1
9.448,takeoff to 20 m,nan,-0.004,0.002,0.02,-0.00,95.98,-0.02,0.02,-0.02,151,151,151,151,TAKEOFF,1
9.468,takeoff to 20 m,nan,-0.003,0.002,0.02,-0.00,95.98,0.03,-0.00,0.03,151,151,151,151,TAKEOFF,1
9.488,takeoff to 20 m,nan,-0.003,0.002,0.02,-0.01,95.98,-0.02,-0.04,0.06,151,151,151,151,TAKEOFF,1
9.508,takeoff to 20 m,nan,-0.002,0.002,0.03,-0.01,95.98,0.00,-0.00,-0.01,151,151,151,151,TAKEOFF,1
9.528,takeoff to 20 m,nan,-0.002,0.002,0.03,-0.01,95.98,0.03,-0.02,-0.01,151,151,151,151,TAKEOFF,1
9.548,takeoff to 20 m,nan,-0.002,0.002,0.03,-0.01,95.98,-0.02,0.03,0.00,151,151,151,151,TAKEOFF,1
9.568,takeoff to 20 m,nan,-0.001,0.001,0.03,-0.01,95.98,0.00,0.01,0.02,162,159,160,160,TAKEOFF,1
9.588,takeoff to 20 m,nan,-0.001,0.001,0.03,-0.01,95.98,0.01,-0.02,-0.02,162,159,160,160,TAKEOFF,1
9.608,takeoff to 20 m,nan,0.000,0.001,0.03,-0.01,95.98,0.06,-0.02,0.02,169,165,167,167,TAKEOFF,1
9.628,takeoff to 20 m,nan,0.000,0.001,0.03,-0.01,95.98,-0.03,-0.02,0.01,169,165,167,167,TAKEOFF,1
9.648,takeoff to 20 m,nan,0.000,0.001,0.03,-0.01,95.98,0.01,-0.01,0.05,169,165,167,167,TAKEOFF,1
9.668,takeoff to 20 m,nan,0.001,0.001,0.03,-0.02,95.98,0.02,-0.06,-0.03,176,172,174,174,TAKEOFF,1
9.688,takeoff to 20 m,nan,0.001,0.001,0.03,-0.01,95.98,-0.02,0.03,-0.01,176,172,174,174,TAKEOFF,1
9.708,takeoff to 20 m,nan,0.002,0.000,0.04,-0.01,95.98,0.02,0.06,0.06,184,181,182,183,TAKEOFF,1
