t_boot_s,event,scale,alt_m,vz_mps,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,esc1,esc2,esc3,esc4,mode,armed
8.120,start,nan,0.025,-0.002,-0.01,-0.04,96.00,0.02,0.01,-0.03,0,0,0,0,?,0
8.140,start,nan,0.025,-0.002,-0.01,-0.04,96.00,-0.05,-0.01,-0.01,0,0,0,0,?,0
8.160,start,nan,0.025,-0.002,-0.01,-0.04,96.00,0.01,0.01,-0.01,0,0,0,0,?,0
8.180,start,nan,0.025,-0.002,-0.01,-0.04,96.00,-0.02,-0.02,-0.03,0,0,0,0,?,0
8.200,start,nan,0.025,-0.002,-0.01,-0.04,96.00,0.03,-0.05,-0.02,0,0,0,0,?,0
8.220,start,nan,0.025,-0.001,-0.01,-0.04,96.00,0.01,-0.00,-0.04,0,0,0,0,?,0
8.240,start,nan,0.025,-0.001,-0.00,-0.04,96.00,-0.01,-0.02,0.00,0,0,0,0,?,0
8.260,start,nan,0.025,-0.001,-0.00,-0.04,96.00,0.03,-0.03,-0.03,0,0,0,0,?,0
8.280,start,nan,0.025,-0.001,-0.00,-0.04,96.00,0.04,0.02,0.01,0,0,0,0,?,0
8.300,start,nan,0.025,-0.001,0.00,-0.04,96.00,-0.01,-0.01,0.06,0,0,0,0,?,0
8.320,start,nan,0.025,-0.001,0.00,-0.04,96.00,0.01,-0.02,-0.04,0,0,0,0,?,0
8.340,start,nan,0.025,-0.001,0.00,-0.04,96.00,0.05,-0.01,-0.00,0,0,0,0,?,0
8.360,start,nan,0.025,-0.000,0.00,-0.04,96.00,-0.03,-0.04,-0.06,151,151,151,150,?,0
8.380,start,nan,0.025,-0.000,0.00,-0.04,96.00,-0.00,0.01,-0.02,151,151,151,150,?,0
8.400,start,nan,0.025,-0.000,0.01,-0.04,96.00,0.06,-0.04,-0.02,151,151,151,150,?,0
8.420,start,nan,0.025,0.000,0.01,-0.04,96.00,-0.02,-0.01,0.00,151,151,151,151,?,0
8.420,takeoff to 20 m,nan,0.025,0.000,0.01,-0.04,96.00,-0.02,-0.01,0.00,151,151,151,151,?,0
8.440,takeoff to 20 m,nan,0.025,0.000,0.01,-0.04,96.00,-0.04,0.04,-0.00,151,151,151,151,?,0
8.460,takeoff to 20 m,nan,0.025,0.001,0.01,-0.04,96.00,0.01,-0.01,0.01,151,150,151,151,?,0
8.480,takeoff to 20 m,nan,0.025,0.001,0.01,-0.04,96.00,0.03,-0.01,0.02,151,150,151,151,?,0
8.500,takeoff to 20 m,nan,0.025,0.001,0.01,-0.04,96.00,0.00,0.00,0.02,151,150,151,151,?,0
8.520,takeoff to 20 m,nan,0.025,0.001,0.01,-0.04,96.00,0.02,-0.04,0.02,151,151,151,150,?,0
8.540,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,96.00,-0.02,0.04,0.01,151,151,151,150,?,0
8.560,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,96.00,0.00,0.04,0.02,151,151,151,151,?,0
8.580,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,96.00,-0.03,-0.07,-0.02,151,151,151,151,?,0
8.600,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,96.00,0.03,-0.03,0.01,151,151,151,151,?,0
8.620,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,96.00,0.01,-0.00,0.02,151,150,151,151,?,0
8.640,takeoff to 20 m,nan,0.025,0.001,0.01,-0.03,95.99,-0.04,-0.01,-0.02,151,150,151,151,?,0
8.660,takeoff to 20 m,nan,0.025,0.002,0.01,-0.03,95.99,0.03,-0.05,0.03,151,150,151,151,?,0
8.680,takeoff to 20 m,nan,0.025,0.002,0.01,-0.03,95.99,0.01,-0.04,0.00,151,150,151,151,?,0
8.700,takeoff to 20 m,nan,0.025,0.002,0.01,-0.03,95.99,0.02,0.02,-0.02,151,150,151,151,?,0
8.720,takeoff to 20 m,nan,0.025,0.002,0.01,-0.03,95.99,0.02,0.02,0.03,151,151,151,151,?,0
8.740,takeoff to 20 m,nan,0.025,0.002,0.01,-0.03,95.99,0.00,-0.05,0.03,151,151,151,151,?,0
8.760,takeoff to 20 m,nan,0.024,0.002,0.01,-0.03,95.99,-0.05,0.05,0.03,151,151,151,151,?,0
8.780,takeoff to 20 m,nan,0.024,0.002,0.01,-0.02,95.99,0.03,0.01,-0.04,151,151,151,151,?,0
8.800,takeoff to 20 m,nan,0.024,0.002,0.01,-0.02,95.99,0.08,-0.05,0.02,151,151,151,151,?,0
8.820,takeoff to 20 m,nan,0.024,0.003,0.01,-0.02,95.99,-0.01,0.01,-0.03,151,150,151,151,?,0
8.840,takeoff to 20 m,nan,0.024,0.003,0.01,-0.02,95.99,-0.01,-0.03,-0.04,151,150,151,151,?,0
8.860,takeoff to 20 m,nan,0.023,0.003,0.01,-0.02,95.99,0.00,0.05,-0.02,151,151,151,151,?,0
8.880,takeoff to 20 m,nan,0.023,0.003,0.01,-0.02,95.99,-0.02,-0.00,-0.02,151,151,151,151,?,0
8.900,takeoff to 20 m,nan,0.023,0.003,0.01,-0.02,95.99,0.00,0.00,0.02,151,151,151,151,?,0
8.920,takeoff to 20 m,nan,0.023,0.004,0.01,-0.02,95.99,-0.00,-0.00,-0.02,151,151,151,151,?,0
8.940,takeoff to 20 m,nan,0.023,0.004,0.01,-0.02,95.99,0.01,0.05,-0.02,151,151,151,151,?,0
8.960,takeoff to 20 m,nan,0.022,0.004,0.01,-0.02,95.99,-0.01,-0.01,-0.03,151,151,151,151,?,0
8.980,takeoff to 20 m,nan,0.022,0.004,0.01,-0.02,95.99,0.01,-0.05,-0.06,151,151,151,151,?,0
9.000,takeoff to 20 m,nan,0.022,0.004,0.01,-0.02,95.99,0.04,0.01,-0.06,151,151,151,151,?,0
9.020,takeoff to 20 m,nan,0.022,0.004,0.01,-0.02,95.99,0.01,-0.03,-0.06,151,151,151,151,?,0
9.040,takeoff to 20 m,nan,0.022,0.004,0.01,-0.02,95.99,-0.01,-0.07,-0.02,151,151,151,151,?,0
9.060,takeoff to 20 m,nan,0.021,0.004,0.01,-0.02,95.99,0.02,0.02,0.01,151,151,151,151,?,0
9.080,takeoff to 20 m,nan,0.021,0.004,0.01,-0.02,95.99,0.05,-0.04,-0.04,151,151,151,151,?,0
9.100,takeoff to 20 m,nan,0.021,0.004,0.01,-0.02,95.99,-0.01,0.01,0.01,151,151,151,151,?,0
9.120,takeoff to 20 m,nan,0.021,0.004,0.01,-0.02,95.99,0.03,-0.00,-0.02,151,151,151,151,TAKEOFF,1
9.140,takeoff to 20 m,nan,0.021,0.004,0.01,-0.01,95.99,0.01,0.02,-0.01,151,151,151,151,TAKEOFF,1
9.160,takeoff to 20 m,nan,0.020,0.004,0.01,-0.01,95.99,0.01,-0.03,-0.04,151,151,151,151,TAKEOFF,1
9.180,takeoff to 20 m,nan,0.020,0.004,0.01,-0.01,95.99,0.03,-0.00,-0.04,151,151,151,151,TAKEOFF,1
9.200,takeoff to 20 m,nan,0.020,0.004,0.01,-0.01,95.99,-0.00,0.05,0.03,151,151,151,151,TAKEOFF,1
9.220,takeoff to 20 m,nan,0.020,0.004,0.01,-0.01,95.99,0.01,0.02,-0.04,151,151,151,151,TAKEOFF,1
9.240,takeoff to 20 m,nan,0.020,0.004,0.01,-0.01,95.98,-0.00,-0.07,-0.01,151,151,151,151,TAKEOFF,1
9.260,takeoff to 20 m,nan,0.019,0.004,0.01,-0.01,95.98,0.01,0.01,-0.01,151,151,151,151,TAKEOFF,1
9.280,takeoff to 20 m,nan,0.019,0.004,0.01,-0.01,95.98,0.05,0.03,-0.02,151,151,151,151,TAKEOFF,1
9.300,takeoff to 20 m,nan,0.019,0.004,0.02,-0.01,95.98,0.06,-0.02,0.01,151,151,151,151,TAKEOFF,1
9.320,takeoff to 20 m,nan,0.018,0.005,0.02,-0.01,95.98,0.02,0.00,0.02,151,151,151,151,TAKEOFF,1
9.340,takeoff to 20 m,nan,0.018,0.005,0.02,-0.01,95.98,0.01,0.00,-0.02,151,151,151,151,TAKEOFF,1
9.360,takeoff to 20 m,nan,0.018,0.005,0.02,-0.02,95.98,-0.03,-0.08,-0.03,156,154,156,154,TAKEOFF,1
9.380,takeoff to 20 m,nan,0.018,0.005,0.02,-0.02,95.98,0.03,-0.01,-0.00,156,154,156,154,TAKEOFF,1
9.400,takeoff to 20 m,nan,0.018,0.005,0.02,-0.02,95.98,0.01,0.02,-0.02,156,154,156,154,TAKEOFF,1
