t_boot_s,event,scale,alt_m,vz_mps,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,esc1,esc2,esc3,esc4,mode,armed
6.012,start,nan,-0.023,-0.005,0.02,-0.00,-0.00,0.03,0.01,0.02,0,0,0,0,?,0
6.032,start,nan,-0.023,-0.005,0.02,-0.00,-0.00,0.05,-0.02,-0.04,0,0,0,0,?,0
6.052,start,nan,-0.030,-0.003,0.02,-0.00,-0.00,-0.02,0.04,-0.03,0,0,0,0,?,0
6.072,start,nan,-0.030,-0.003,0.02,-0.00,-0.00,-0.02,0.03,0.01,0,0,0,0,?,0
6.092,start,nan,-0.030,-0.003,0.02,-0.00,-0.00,-0.01,0.01,0.01,0,0,0,0,?,0
6.112,start,nan,-0.035,-0.002,0.02,-0.00,-0.00,0.03,0.03,-0.01,0,0,0,0,?,0
6.132,start,nan,-0.035,-0.002,0.02,-0.00,-0.00,0.04,0.01,0.04,0,0,0,0,?,0
6.152,start,nan,-0.040,-0.001,0.02,-0.00,-0.01,0.01,0.03,-0.02,0,0,0,0,?,0
6.172,start,nan,-0.040,-0.001,0.02,-0.00,-0.01,0.03,-0.06,-0.00,0,0,0,0,?,0
6.192,start,nan,-0.040,-0.001,0.02,-0.00,-0.01,0.04,0.04,0.03,0,0,0,0,?,0
6.212,start,nan,-0.045,-0.000,0.02,-0.00,-0.01,0.01,-0.02,-0.04,0,0,0,0,?,0
6.232,start,nan,-0.045,-0.000,0.02,-0.00,95.97,-0.04,-0.01,-0.07,0,0,0,0,?,0
6.252,start,nan,-0.050,0.000,0.02,-0.00,95.97,0.00,-0.00,-0.01,0,0,0,0,?,0
6.272,start,nan,-0.050,0.000,0.02,-0.00,95.97,0.06,-0.03,-0.02,0,0,0,0,?,0
6.292,start,nan,-0.050,0.000,0.02,-0.00,95.97,0.04,0.00,0.04,0,0,0,0,?,0
6.312,start,nan,-0.053,0.001,0.02,-0.00,95.97,0.02,0.00,-0.01,0,0,0,0,?,0
6.332,start,nan,-0.053,0.001,0.02,-0.00,95.97,-0.02,0.04,0.02,0,0,0,0,?,0
6.352,start,nan,-0.056,0.002,0.02,-0.00,95.97,-0.00,-0.03,0.02,0,0,0,0,?,0
6.372,start,nan,-0.056,0.002,0.02,-0.00,95.97,-0.00,0.04,0.03,0,0,0,0,?,0
6.392,start,nan,-0.056,0.002,0.02,-0.00,95.97,0.01,0.04,-0.00,0,0,0,0,?,0
6.412,start,nan,-0.058,0.003,0.02,-0.00,95.97,0.03,-0.02,0.01,0,0,0,0,?,0
6.432,start,nan,-0.058,0.003,0.02,-0.01,95.97,0.02,-0.01,-0.07,0,0,0,0,?,0
6.452,start,nan,-0.061,0.005,0.02,-0.01,95.97,0.02,0.03,0.00,0,0,0,0,?,0
6.472,start,nan,-0.061,0.005,0.02,-0.01,95.98,-0.00,-0.02,0.03,0,0,0,0,?,0
6.492,start,nan,-0.061,0.005,0.03,-0.01,95.98,0.03,-0.02,-0.03,0,0,0,0,?,0
6.512,start,nan,-0.063,0.006,0.03,-0.01,95.98,-0.04,-0.00,0.04,0,0,0,0,?,0
6.532,start,nan,-0.063,0.006,0.03,-0.02,95.98,-0.03,-0.04,-0.00,0,0,0,0,?,0
